场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
double_intersection_u_turn,0,0.000000,-89.885788,27.934277,0.159198,0.000000,0.000000,0.000000,0.000000,0.189250,,
double_intersection_u_turn,1,0.100000,-89.885788,27.934277,0.159198,0.000000,0.000000,-0.010881,44.736624,0.189250,,
double_intersection_u_turn,2,0.200000,-89.885788,27.934277,0.159198,0.000000,0.000000,-0.020935,64.722776,0.189250,,
double_intersection_u_turn,3,0.300000,-89.885788,27.934277,0.159198,0.000000,-0.000000,-0.029478,60.067654,0.189250,,
double_intersection_u_turn,4,0.400000,-89.885788,27.934277,0.159198,0.000000,0.000000,-0.036739,61.796665,0.189250,,
double_intersection_u_turn,5,0.500000,-89.885788,27.934277,0.159198,0.000000,-0.000000,-0.042910,62.517166,0.189250,,
double_intersection_u_turn,6,0.600000,-89.885788,27.934277,0.159198,0.000000,0.000000,-0.048154,67.672729,0.189250,,
double_intersection_u_turn,7,0.700000,-89.883057,27.934179,0.153359,0.267974,2.676492,-0.052611,61.603308,0.189095,,
double_intersection_u_turn,8,0.800000,-89.779312,27.929838,-0.033203,1.530466,12.625002,-0.058161,59.395313,0.182548,,
double_intersection_u_turn,9,0.900000,-89.592247,27.921127,-0.411224,2.066796,5.363617,-0.059988,59.339285,0.169860,,
double_intersection_u_turn,10,1.000000,-89.370621,27.910414,-0.807007,2.290665,2.238700,-0.051571,47.179937,0.154435,,
double_intersection_u_turn,11,1.100000,-89.133865,27.899466,-1.137177,2.401642,1.110121,-0.038744,36.633968,0.138453,,
double_intersection_u_turn,12,1.200000,-88.887794,27.889168,-1.376282,2.487775,0.862028,-0.025341,31.528473,0.122923,,
double_intersection_u_turn,13,1.300000,-88.632736,27.879839,-1.525269,2.582321,0.946248,-0.013530,30.734062,0.108171,,
double_intersection_u_turn,14,1.400000,-88.367729,27.870024,-1.660614,2.684795,1.024796,-0.004397,32.073498,0.092721,,
double_intersection_u_turn,15,1.500000,-88.094566,27.862104,-1.674958,2.732747,0.482331,0.003678,25.592566,0.078993,,
double_intersection_u_turn,16,1.600000,-87.821892,27.855608,-1.638092,2.687285,-0.454339,0.007396,25.492191,0.066698,,
double_intersection_u_turn,17,1.700000,-87.555527,27.849871,-1.588959,2.627614,-0.596652,0.008648,27.247667,0.055296,,
double_intersection_u_turn,18,1.800000,-87.292862,27.844475,-1.542236,2.604928,-0.226858,0.008346,19.017458,0.044476,,
