场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
dynamic_vehicle_interaction,0,0.000000,106.019249,50.869305,-89.609253,0.000000,0.000000,0.000000,0.000000,0.000033,,
dynamic_vehicle_interaction,1,0.100000,106.019249,50.869305,-89.609253,0.000000,-0.000000,0.180000,59.240818,0.000033,14.185103,
dynamic_vehicle_interaction,2,0.200000,106.019249,50.869305,-89.609253,0.000000,-0.000000,0.360000,49.628735,0.000033,13.977390,
dynamic_vehicle_interaction,3,0.300000,106.019249,50.869305,-89.609253,0.000000,-0.000001,0.540000,51.116705,0.000033,14.152156,
dynamic_vehicle_interaction,4,0.400000,106.019249,50.869305,-89.609253,0.000000,-0.000000,0.592593,51.750660,0.000033,14.294399,
dynamic_vehicle_interaction,5,0.500000,106.019249,50.869305,-89.609253,0.000000,-0.000000,0.625057,52.494764,0.000033,14.446155,
dynamic_vehicle_interaction,6,0.600000,106.019249,50.869305,-89.609253,0.000000,-0.000000,0.645097,55.810928,0.000033,14.610214,
dynamic_vehicle_interaction,7,0.700000,106.020241,50.867237,-89.551941,0.237914,2.379143,0.657467,52.303076,0.001011,14.751125,
dynamic_vehicle_interaction,8,0.800000,106.062729,50.796951,-87.666092,1.299210,10.612952,0.700000,43.663502,0.043018,14.511066,
dynamic_vehicle_interaction,9,0.900000,106.139191,50.659409,-84.842285,1.866782,5.675729,0.520000,48.680544,0.118540,13.084159,
dynamic_vehicle_interaction,10,1.000000,106.222130,50.474632,-82.258423,2.186702,3.199195,0.385645,53.463459,0.200217,12.483006,
dynamic_vehicle_interaction,11,1.100000,106.306618,50.261459,-80.098862,2.402129,2.154274,0.292190,49.033642,0.283249,12.213098,
dynamic_vehicle_interaction,12,1.200000,106.392738,50.024334,-78.381035,2.633290,2.311603,0.207287,46.677113,0.367750,12.055104,
dynamic_vehicle_interaction,13,1.300000,106.475967,49.758030,-77.342133,2.915175,2.818850,0.090382,46.515703,0.449161,11.640085,
dynamic_vehicle_interaction,14,1.400000,106.553299,49.458984,-77.004364,3.218981,3.038066,0.019553,46.273232,0.524451,11.021814,
dynamic_vehicle_interaction,15,1.500000,106.621498,49.127125,-77.387909,3.520615,3.016340,-0.056763,47.119141,0.590386,10.659833,
dynamic_vehicle_interaction,16,1.600000,106.676216,48.763393,-78.463783,3.812581,2.919656,-0.115125,44.574022,0.642623,10.045809,
dynamic_vehicle_interaction,17,1.700000,106.715469,48.369617,-80.075974,4.094332,2.817516,-0.146044,36.598682,0.679191,9.068986,
dynamic_vehicle_interaction,18,1.800000,106.738213,47.947250,-82.070915,4.367530,2.731972,-0.166664,36.899328,0.699055,8.321816,
dynamic_vehicle_interaction,19,1.900000,106.741951,47.498135,-84.368927,4.622767,2.552371,-0.180426,35.037518,0.699732,7.533532,
dynamic_vehicle_interaction,20,2.000000,106.735634,47.025448,-86.392357,4.811026,1.882595,-0.138264,38.465738,0.690192,6.958084,
dynamic_vehicle_interaction,21,2.100000,106.723755,46.541374,-88.010063,4.861356,0.503301,-0.107412,35.639048,0.675012,6.451156,
dynamic_vehicle_interaction,22,2.200000,106.702263,46.057137,-89.498535,4.847491,-0.138657,-0.104311,37.673235,0.650217,6.071985,
dynamic_vehicle_interaction,23,2.300000,106.663712,45.574436,-91.194336,4.873972,0.264816,-0.126045,39.331675,0.608374,5.735605,
dynamic_vehicle_interaction,24,2.400000,106.627548,45.081448,-92.121033,5.021049,1.470765,-0.035543,35.563231,0.568849,5.404447,
dynamic_vehicle_interaction,25,2.500000,106.612289,44.577187,-91.889526,5.000995,-0.200541,0.046674,36.247015,0.550151,5.035105,
dynamic_vehicle_interaction,26,2.600000,106.624542,44.071438,-90.571251,5.033520,0.325252,0.132349,36.044359,0.558955,4.731533,
dynamic_vehicle_interaction,27,2.700000,106.674789,43.563869,-88.167984,5.143505,1.099856,0.195898,36.199570,0.605740,4.446468,
dynamic_vehicle_interaction,28,2.800000,106.767242,43.063362,-84.793266,5.138957,-0.045481,0.289358,39.384127,0.694778,4.147911,
dynamic_vehicle_interaction,29,2.900000,106.912537,42.575596,-80.497002,5.166846,0.278885,0.317986,38.577795,0.836743,3.851724,
dynamic_vehicle_interaction,30,3.000000,107.083893,42.098427,-76.673050,5.108274,-0.585722,0.230793,32.552004,1.004841,3.554489,
dynamic_vehicle_interaction,31,3.100000,107.269096,41.625523,-73.719460,5.054791,-0.534828,0.189822,32.823801,1.186815,3.287053,
dynamic_vehicle_interaction,32,3.200000,107.467598,41.157059,-71.221886,5.089930,0.351389,0.156187,24.029970,1.382117,3.036100,
dynamic_vehicle_interaction,33,3.300000,107.670692,40.695999,-69.351868,5.062962,-0.269675,0.104967,18.153191,1.582061,2.790108,
dynamic_vehicle_interaction,34,3.400000,107.871658,40.228550,-68.479492,5.049678,-0.132837,0.033564,17.013311,1.779834,2.557352,
