场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
high_speed_straight_tracking,0,0.000000,106.019249,50.869305,-89.609253,0.000000,0.000000,0.000000,0.000000,0.000033,,
high_speed_straight_tracking,1,0.100000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.179927,83.127975,0.000033,,
high_speed_straight_tracking,2,0.200000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.151997,46.581984,0.000033,,
high_speed_straight_tracking,3,0.300000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.128403,22.706747,0.000033,,
high_speed_straight_tracking,4,0.400000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.108472,21.116018,0.000033,,
high_speed_straight_tracking,5,0.500000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.091635,20.044088,0.000033,,
high_speed_straight_tracking,6,0.600000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.077412,19.678354,0.000033,,
high_speed_straight_tracking,7,0.700000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.065397,20.011663,0.000033,,
high_speed_straight_tracking,8,0.800000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.055247,19.579411,0.000033,,
high_speed_straight_tracking,9,0.900000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.046672,20.630598,0.000033,,
high_speed_straight_tracking,10,1.000000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.039429,28.851986,0.000033,,
high_speed_straight_tracking,11,1.100000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.033310,23.622751,0.000033,,
high_speed_straight_tracking,12,1.200000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.028141,20.545006,0.000033,,
high_speed_straight_tracking,13,1.300000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.023775,19.810915,0.000033,,
high_speed_straight_tracking,14,1.400000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.020086,21.100998,0.000033,,
high_speed_straight_tracking,15,1.500000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.016970,21.031618,0.000033,,
high_speed_straight_tracking,16,1.600000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.014338,20.555735,0.000033,,
high_speed_straight_tracking,17,1.700000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.012114,20.545244,0.000033,,
high_speed_straight_tracking,18,1.800000,106.019218,50.820633,-89.626823,1.083669,10.000000,-0.010236,20.990133,0.000330,,
high_speed_straight_tracking,19,1.900000,106.019028,50.675713,-89.688660,1.676835,5.931676,-0.006256,19.059658,0.001509,,
high_speed_straight_tracking,20,2.000000,106.019447,50.496464,-89.707085,1.881954,2.051595,-0.002122,18.307924,0.002312,,
high_speed_straight_tracking,21,2.100000,106.020248,50.299408,-89.713669,2.045043,1.630908,-0.000802,19.724846,0.002855,,
high_speed_straight_tracking,22,2.200000,106.021317,50.085175,-89.712997,2.228661,1.836185,0.000299,20.103216,0.003248,,
high_speed_straight_tracking,23,2.300000,106.022636,49.850571,-89.706329,2.447766,2.191062,0.001053,20.412922,0.003529,,
high_speed_straight_tracking,24,2.400000,106.024216,49.592552,-89.695427,2.691111,2.433451,0.001440,21.012783,0.003709,,
high_speed_straight_tracking,25,2.500000,106.026039,49.309589,-89.682457,2.943318,2.522070,0.001506,25.028229,0.003815,,
high_speed_straight_tracking,26,2.600000,106.028076,49.001431,-89.669495,3.194139,2.508207,0.001357,24.494410,0.003879,,
