场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
high_speed_straight_tracking_town05,0,0.000000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000000,0.000000,0.083752,,
high_speed_straight_tracking_town05,1,0.100000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000310,73.945284,0.083752,,
high_speed_straight_tracking_town05,2,0.200000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000447,35.665035,0.083752,,
high_speed_straight_tracking_town05,3,0.300000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000474,28.219700,0.083752,,
high_speed_straight_tracking_town05,4,0.400000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000422,30.045271,0.083752,,
high_speed_straight_tracking_town05,5,0.500000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000364,40.849686,0.083752,,
high_speed_straight_tracking_town05,6,0.600000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000318,28.622150,0.083752,,
high_speed_straight_tracking_town05,7,0.700000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000281,28.759956,0.083752,,
high_speed_straight_tracking_town05,8,0.800000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000251,30.793428,0.083752,,
high_speed_straight_tracking_town05,9,0.900000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000226,27.613163,0.083752,,
high_speed_straight_tracking_town05,10,1.000000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000207,27.554512,0.083752,,
high_speed_straight_tracking_town05,11,1.100000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000191,27.284384,0.083752,,
high_speed_straight_tracking_town05,12,1.200000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000179,26.775122,0.083752,,
high_speed_straight_tracking_town05,13,1.300000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000169,29.761314,0.083752,,
high_speed_straight_tracking_town05,14,1.400000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000161,26.472807,0.083752,,
high_speed_straight_tracking_town05,15,1.500000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000154,27.667046,0.083752,,
high_speed_straight_tracking_town05,16,1.600000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000149,30.230045,0.083752,,
high_speed_straight_tracking_town05,17,1.700000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,0.000145,27.091026,0.083752,,
high_speed_straight_tracking_town05,18,1.800000,44.824566,-84.129051,-1.443939,1.090768,10.000000,0.000141,25.792837,0.035023,,
high_speed_straight_tracking_town05,19,1.900000,44.970585,-84.132782,-1.434448,1.695586,6.048180,-0.000024,23.150444,0.000033,,
high_speed_straight_tracking_town05,20,2.000000,45.158989,-84.137451,-1.447510,2.011704,3.161177,-0.000056,26.599884,0.000047,,
high_speed_straight_tracking_town05,21,2.100000,45.376228,-84.142677,-1.473724,2.276197,2.644935,0.000982,15.517473,0.000296,,
high_speed_straight_tracking_town05,22,2.200000,45.619602,-84.148514,-1.485596,2.539729,2.635323,0.001801,19.023657,0.000594,,
high_speed_straight_tracking_town05,23,2.300000,45.889568,-84.154991,-1.485138,2.812197,2.724684,0.002209,16.822100,0.000922,,
high_speed_straight_tracking_town05,24,2.400000,46.186962,-84.162148,-1.475860,3.089737,2.775398,0.002159,15.773535,0.001263,,
high_speed_straight_tracking_town05,25,2.500000,46.511723,-84.170006,-1.462921,3.363525,2.737884,0.001726,16.521931,0.001595,,
