场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
narrow_corridor_passage,0,0.000000,106.019249,50.869305,-89.609253,0.000000,0.000000,0.000000,0.000000,0.000033,,
narrow_corridor_passage,1,0.100000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000003,63.039064,0.000033,6.672631,
narrow_corridor_passage,2,0.200000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000006,40.233135,0.000033,6.580712,
narrow_corridor_passage,3,0.300000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000008,39.868593,0.000033,6.580712,
narrow_corridor_passage,4,0.400000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000010,42.303085,0.000033,6.580712,
narrow_corridor_passage,5,0.500000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000012,40.854216,0.000033,6.580712,
narrow_corridor_passage,6,0.600000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000013,47.770739,0.000033,6.580712,
narrow_corridor_passage,7,0.700000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000015,45.921087,0.000033,6.580712,
narrow_corridor_passage,8,0.800000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000016,48.810959,0.000033,6.580712,
narrow_corridor_passage,9,0.900000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000017,45.069933,0.000033,6.580712,
narrow_corridor_passage,10,1.000000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000018,41.710138,0.000033,6.580712,
narrow_corridor_passage,11,1.100000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000018,45.702457,0.000033,6.580712,
narrow_corridor_passage,12,1.200000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000019,45.228481,0.000033,6.580712,
narrow_corridor_passage,13,1.300000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000019,41.061640,0.000033,6.580712,
narrow_corridor_passage,14,1.400000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000020,40.040255,0.000033,6.580712,
narrow_corridor_passage,15,1.500000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000020,45.526981,0.000033,6.580712,
narrow_corridor_passage,16,1.600000,106.019249,50.869305,-89.609253,0.000000,0.000000,-0.000020,47.994137,0.000033,6.580712,
narrow_corridor_passage,17,1.700000,106.019249,50.869305,-89.609253,0.000000,-0.000000,-0.000021,45.319319,0.000033,6.580712,
narrow_corridor_passage,18,1.800000,106.019577,50.820728,-89.609123,1.083056,10.000000,-0.000021,45.881510,0.000030,6.580712,
narrow_corridor_passage,19,1.900000,106.020447,50.675808,-89.591545,1.664633,5.815778,-0.000074,36.870241,0.000089,5.747554,
narrow_corridor_passage,20,2.000000,106.021431,50.489597,-89.561653,1.951471,2.868379,-0.000790,24.578810,0.000375,5.404306,
narrow_corridor_passage,21,2.100000,106.022552,50.287212,-89.539024,2.041524,0.900529,-0.001488,21.017075,0.000634,5.181944,
narrow_corridor_passage,22,2.200000,106.023735,50.080582,-89.523651,2.057042,0.155182,-0.002042,17.532825,0.000861,4.988041,
narrow_corridor_passage,23,2.300000,106.024933,49.873005,-89.512077,2.069432,0.123895,-0.002472,16.524076,0.001079,4.800654,
narrow_corridor_passage,24,2.400000,106.026085,49.662689,-89.502220,2.110889,0.414567,-0.002807,19.106865,0.001361,4.612985,
narrow_corridor_passage,25,2.500000,106.027275,49.446831,-89.494301,2.175301,0.644124,-0.003047,19.024134,0.001643,4.420672,
narrow_corridor_passage,26,2.600000,106.028511,49.224339,-89.488792,2.239817,0.645161,-0.003192,20.506620,0.001924,4.224243,
narrow_corridor_passage,27,2.700000,106.029762,48.996288,-89.485374,2.286765,0.469481,-0.003247,15.813112,0.002228,4.025378,
narrow_corridor_passage,28,2.800000,106.031113,48.764740,-89.483154,2.312576,0.258112,-0.003223,16.020775,0.002456,3.824558,
narrow_corridor_passage,29,2.900000,106.032471,48.531475,-89.481255,2.324134,0.115578,-0.003161,18.926620,0.002688,3.623926,
narrow_corridor_passage,30,3.000000,106.033852,48.297398,-89.479118,2.330719,0.065848,-0.003077,18.015862,0.002903,3.424853,
narrow_corridor_passage,31,3.100000,106.035301,48.062630,-89.476463,2.338291,0.075718,-0.002986,15.515327,0.003053,3.227887,
narrow_corridor_passage,32,3.200000,106.036743,47.826996,-89.473320,2.348123,0.098328,-0.002910,14.901876,0.003218,3.033147,
narrow_corridor_passage,33,3.300000,106.038231,47.590324,-89.469841,2.358513,0.103900,-0.002844,17.018318,0.003343,2.840803,
narrow_corridor_passage,34,3.400000,106.039772,47.352688,-89.466248,2.367332,0.088191,-0.002795,13.499260,0.003422,2.651210,
narrow_corridor_passage,35,3.500000,106.041313,47.114319,-89.462578,2.373577,0.062448,-0.002768,14.539480,0.003507,2.464994,
narrow_corridor_passage,36,3.600000,106.042877,46.875458,-89.458984,2.377575,0.039982,-0.002757,14.470339,0.003572,2.282885,
narrow_corridor_passage,37,3.700000,106.044472,46.636265,-89.455505,2.380305,0.027297,-0.002761,15.315056,0.003608,2.105605,
narrow_corridor_passage,38,3.800000,106.046104,46.396820,-89.452240,2.382659,0.023541,-0.002782,13.514996,0.003609,1.933848,
narrow_corridor_passage,39,3.900000,106.047745,46.157162,-89.449242,2.385053,0.023938,-0.002819,18.032789,0.003603,1.768690,
narrow_corridor_passage,40,4.000000,106.049385,45.917274,-89.446648,2.387285,0.022317,-0.002867,19.044638,0.003599,1.611623,
narrow_corridor_passage,41,4.100000,106.051033,45.677181,-89.444550,2.388902,0.016173,-0.002919,14.011860,0.003589,1.463256,
narrow_corridor_passage,42,4.200000,106.052681,45.436966,-89.442802,2.389692,0.007903,-0.002971,15.444756,0.003580,1.324104,
narrow_corridor_passage,43,4.300000,106.054337,45.196732,-89.441551,2.389768,0.000757,-0.003020,12.457132,0.003563,1.194816,
narrow_corridor_passage,44,4.400000,106.055992,44.956501,-89.440643,2.389383,-0.003852,-0.003065,13.154745,0.003546,1.076211,
narrow_corridor_passage,45,4.500000,106.057648,44.716331,-89.439751,2.388786,-0.005973,-0.003105,11.530876,0.003528,0.969157,
narrow_corridor_passage,46,4.600000,106.059258,44.476219,-89.439400,2.388036,-0.007499,-0.003144,14.302254,0.003556,0.874619,
