场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
narrow_corridor_passage_town05,0,0.000000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000000,0.000000,0.083752,,
narrow_corridor_passage_town05,1,0.100000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000002,51.119089,0.083752,,
narrow_corridor_passage_town05,2,0.200000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000004,56.644917,0.083752,,
narrow_corridor_passage_town05,3,0.300000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000006,50.261259,0.083752,,
narrow_corridor_passage_town05,4,0.400000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000007,36.071062,0.083752,,
narrow_corridor_passage_town05,5,0.500000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000009,37.899017,0.083752,,
narrow_corridor_passage_town05,6,0.600000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000010,43.282986,0.083752,,
narrow_corridor_passage_town05,7,0.700000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000011,34.196138,0.083752,,
narrow_corridor_passage_town05,8,0.800000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000012,41.464090,0.083752,,
narrow_corridor_passage_town05,9,0.900000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000012,47.554493,0.083752,,
narrow_corridor_passage_town05,10,1.000000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000013,35.572767,0.083752,,
narrow_corridor_passage_town05,11,1.100000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000013,29.724360,0.083752,,
narrow_corridor_passage_town05,12,1.200000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000014,36.066294,0.083752,,
narrow_corridor_passage_town05,13,1.300000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000014,41.193724,0.083752,,
narrow_corridor_passage_town05,14,1.400000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000014,35.127163,0.083752,,
narrow_corridor_passage_town05,15,1.500000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000015,41.237593,0.083752,,
narrow_corridor_passage_town05,16,1.600000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000015,47.300339,0.083752,,
narrow_corridor_passage_town05,17,1.700000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000015,33.643961,0.083752,,
narrow_corridor_passage_town05,18,1.800000,44.824448,-84.129051,-1.444122,1.084173,10.000000,-0.000015,49.148560,0.035141,,
narrow_corridor_passage_town05,19,1.900000,44.970200,-84.132675,-1.459686,1.713476,6.293022,-0.000068,32.053709,0.000064,,
narrow_corridor_passage_town05,20,2.000000,45.157978,-84.137535,-1.423645,2.028772,3.152963,0.000257,33.046722,0.000063,,
narrow_corridor_passage_town05,21,2.100000,45.366028,-84.142700,-1.422363,2.143192,1.144205,-0.000038,17.038584,0.000016,,
narrow_corridor_passage_town05,22,2.200000,45.576981,-84.147964,-1.423523,2.127537,-0.156549,-0.000204,21.048069,0.000069,,
narrow_corridor_passage_town05,23,2.300000,45.784687,-84.153175,-1.425568,2.096552,-0.309852,-0.000325,20.605326,0.000094,,
narrow_corridor_passage_town05,24,2.400000,45.991627,-84.158394,-1.428162,2.110639,0.140872,-0.000405,20.046473,0.000092,,
