场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
occluded_pedestrian_crossing,0,0.000000,-18.782751,-64.708015,-179.403244,0.000363,0.000000,0.000000,0.000000,0.519061,,
occluded_pedestrian_crossing,1,0.100000,-18.782681,-64.707993,-179.403229,0.000003,0.000030,0.176244,85.752964,0.519131,,
occluded_pedestrian_crossing,2,0.200000,-18.782679,-64.707993,-179.403229,0.000002,-0.000010,0.153214,61.428785,0.519133,,
occluded_pedestrian_crossing,3,0.300000,-18.782679,-64.707993,-179.403229,0.000001,-0.000009,0.129960,72.609186,0.519133,,
occluded_pedestrian_crossing,4,0.400000,-18.782677,-64.707985,-179.403229,0.000001,-0.000005,0.109312,66.521168,0.519135,,
occluded_pedestrian_crossing,5,0.500000,-18.782677,-64.707985,-179.403229,0.000000,-0.000003,0.091708,58.067799,0.519135,,
occluded_pedestrian_crossing,6,0.600000,-18.782677,-64.707985,-179.403229,0.000000,-0.000001,0.076700,59.461594,0.519135,,
occluded_pedestrian_crossing,7,0.700000,-18.782677,-64.707985,-179.403229,0.000000,-0.000001,0.063903,60.019970,0.519135,,
occluded_pedestrian_crossing,8,0.800000,-18.782677,-64.707985,-179.403229,0.000000,-0.000000,0.052993,62.401295,0.519135,,
occluded_pedestrian_crossing,9,0.900000,-18.785412,-64.708107,-179.398819,0.268146,2.679200,0.043691,61.917067,0.516403,,
occluded_pedestrian_crossing,10,1.000000,-18.889523,-64.711807,-179.273666,1.561468,12.933317,0.034066,63.723087,0.412458,,
occluded_pedestrian_crossing,11,1.100000,-19.079123,-64.717545,-179.164413,2.089429,5.280514,0.019108,38.154602,0.223612,,
occluded_pedestrian_crossing,12,1.200000,-19.300009,-64.722221,-179.114563,2.286578,1.972958,0.005143,25.528908,0.026556,,
occluded_pedestrian_crossing,13,1.300000,-19.534540,-64.725357,-179.140121,2.388687,1.022215,-0.005159,23.052216,0.027211,,
occluded_pedestrian_crossing,14,1.400000,-19.777811,-64.727028,-179.223343,2.471767,0.831511,-0.011947,21.021843,0.026347,,
occluded_pedestrian_crossing,15,1.500000,-20.029995,-64.727524,-179.342285,2.566650,0.949190,-0.015516,17.708540,0.024214,,
occluded_pedestrian_crossing,16,1.600000,-20.292061,-64.727173,-179.476486,2.664743,0.981048,-0.016356,14.830589,0.021133,,
occluded_pedestrian_crossing,17,1.700000,-20.563009,-64.726334,-179.607346,2.742263,0.775218,-0.015061,13.530731,0.017471,,
occluded_pedestrian_crossing,18,1.800000,-20.839970,-64.725357,-179.719421,2.787968,0.457054,-0.012302,14.034033,0.013609,,
occluded_pedestrian_crossing,19,1.900000,-21.120110,-64.724548,-179.802979,2.810614,0.226502,-0.008751,14.457703,0.009884,,
occluded_pedestrian_crossing,20,2.000000,-21.402039,-64.724167,-179.853958,2.827103,0.164974,-0.004988,13.597488,0.006568,,
occluded_pedestrian_crossing,21,2.100000,-21.685822,-64.724319,-179.873215,2.847949,0.208579,-0.001458,15.519381,0.003768,,
occluded_pedestrian_crossing,22,2.200000,-21.971951,-64.725098,-179.864456,2.872359,0.244216,0.001549,11.509657,0.001569,,
occluded_pedestrian_crossing,23,2.300000,-22.260401,-64.726501,-179.833282,2.893495,0.211459,0.003862,13.020992,0.000029,,
occluded_pedestrian_crossing,24,2.400000,-22.550537,-64.728477,-179.786301,2.906656,0.131683,0.005423,14.025450,0.001074,,
occluded_pedestrian_crossing,25,2.500000,-22.841578,-64.730934,-179.730194,2.912893,0.062410,0.006267,12.519598,0.001649,,
occluded_pedestrian_crossing,26,2.600000,-23.133066,-64.733772,-179.670746,2.916693,0.038020,0.006494,13.522863,0.001852,,
occluded_pedestrian_crossing,27,2.700000,-23.424974,-64.736893,-179.612717,2.921644,0.049528,0.006240,11.514187,0.001779,,
occluded_pedestrian_crossing,28,2.800000,-23.717478,-64.740204,-179.559387,2.928185,0.065410,0.005656,13.037682,0.001525,,
occluded_pedestrian_crossing,29,2.900000,-24.010639,-64.743622,-179.512695,2.934543,0.063579,0.004883,14.036179,0.001170,,
occluded_pedestrian_crossing,30,3.000000,-24.304342,-64.747101,-179.473602,2.939045,0.045016,0.004045,11.532545,0.000760,,
occluded_pedestrian_crossing,31,3.100000,-24.598381,-64.750587,-179.442017,2.941536,0.024910,0.003240,12.513161,0.000335,,
occluded_pedestrian_crossing,32,3.200000,-24.892605,-64.754074,-179.417099,2.943104,0.015685,0.002538,14.117956,0.000094,,
occluded_pedestrian_crossing,33,3.300000,-25.186989,-64.757545,-179.397614,2.944884,0.017797,0.001979,14.041185,0.000519,,
occluded_pedestrian_crossing,34,3.400000,-25.481585,-64.761017,-179.382156,2.947208,0.023248,0.001579,12.519360,0.000956,,
occluded_pedestrian_crossing,35,3.500000,-25.776421,-64.764503,-179.369247,2.949684,0.024760,0.001335,11.513472,0.001415,,
occluded_pedestrian_crossing,36,3.600000,-26.071489,-64.768028,-179.357544,2.951764,0.020793,0.001229,12.273788,0.001911,,
occluded_pedestrian_crossing,37,3.700000,-26.366734,-64.771606,-179.346039,2.953280,0.015159,0.001233,11.514187,0.002455,,
occluded_pedestrian_crossing,38,3.800000,-26.662104,-64.775246,-179.334488,2.954442,0.011623,0.001319,12.032032,0.003041,,
occluded_pedestrian_crossing,39,3.900000,-26.957588,-64.778984,-179.321167,2.955615,0.011732,0.001470,12.505531,0.003699,,
occluded_pedestrian_crossing,40,4.000000,-27.253197,-64.782837,-179.306152,2.956983,0.013687,0.001638,13.024092,0.004448,,
occluded_pedestrian_crossing,41,4.100000,-27.548952,-64.786812,-179.289536,2.958447,0.014639,0.001809,12.525558,0.005257,,
occluded_pedestrian_crossing,42,4.200000,-27.844849,-64.790924,-179.271408,2.959816,0.013698,0.001967,12.519121,0.006179,,
occluded_pedestrian_crossing,43,4.300000,-28.140871,-64.795151,-179.251968,2.961004,0.011881,0.002101,11.514902,0.007157,,
occluded_pedestrian_crossing,44,4.400000,-28.437002,-64.799507,-179.231476,2.962062,0.010577,0.002205,13.626575,0.008279,,
occluded_pedestrian_crossing,45,4.500000,-28.733234,-64.803993,-179.210251,2.963135,0.010734,0.002280,12.540340,0.009550,,
occluded_pedestrian_crossing,46,4.600000,-29.029575,-64.808601,-179.188614,2.964344,0.012099,0.002314,14.023542,0.011065,,
occluded_pedestrian_crossing,47,4.700000,-29.326046,-64.813316,-179.167053,2.965702,0.013575,0.002295,12.543678,0.012747,,
occluded_pedestrian_crossing,48,4.800000,-29.622656,-64.818138,-179.146164,2.967113,0.014116,0.002204,14.029503,0.014793,,
occluded_pedestrian_crossing,49,4.900000,-29.919407,-64.823029,-179.126984,2.968464,0.013509,0.002004,12.500048,0.017021,,
occluded_pedestrian_crossing,50,5.000000,-30.216284,-64.827934,-179.110870,2.969683,0.012193,0.001646,11.516571,0.019433,,
occluded_pedestrian_crossing,51,5.100000,-30.513275,-64.832817,-179.099823,2.970765,0.010816,0.001064,10.515928,0.021741,,
occluded_pedestrian_crossing,52,5.200000,-30.810368,-64.837563,-179.096497,2.971743,0.009788,0.000178,11.009216,0.023861,,
occluded_pedestrian_crossing,53,5.300000,-31.107557,-64.842049,-179.104523,2.972638,0.008976,-0.001098,14.827013,0.025153,,
occluded_pedestrian_crossing,54,5.400000,-31.404837,-64.846115,-179.128403,2.973429,0.007969,-0.002893,13.504505,0.025653,,
occluded_pedestrian_crossing,55,5.500000,-31.702187,-64.849525,-179.173904,2.974079,0.006624,-0.005315,10.513544,0.024805,,
occluded_pedestrian_crossing,56,5.600000,-31.999601,-64.852013,-179.247498,2.974548,0.004929,-0.008448,11.517286,0.022317,,
occluded_pedestrian_crossing,57,5.700000,-32.297050,-64.853249,-179.356003,2.974819,0.003131,-0.012342,12.027025,0.018224,,
occluded_pedestrian_crossing,58,5.800000,-32.594532,-64.852875,-179.507095,2.975492,0.007408,-0.017073,12.509823,0.012926,,
occluded_pedestrian_crossing,59,5.900000,-32.892056,-64.850494,-179.707855,2.975817,0.004279,-0.022589,10.516882,0.006299,,
occluded_pedestrian_crossing,60,6.000000,-33.189484,-64.845650,-179.965179,2.974881,-0.007895,-0.028878,11.507273,0.001277,,
occluded_pedestrian_crossing,61,6.100000,-33.486675,-64.837929,179.715088,2.973146,-0.015351,-0.035827,10.134220,0.009249,,
occluded_pedestrian_crossing,62,6.200000,-33.783546,-64.826881,179.328354,2.971286,-0.016016,-0.043306,9.888172,0.019068,,
occluded_pedestrian_crossing,63,6.300000,-34.080021,-64.812057,178.871002,2.969458,-0.015051,-0.051222,10.509729,0.027326,,
occluded_pedestrian_crossing,64,6.400000,-34.376011,-64.793060,178.340836,2.967318,-0.017495,-0.059407,11.757612,0.037588,,
occluded_pedestrian_crossing,65,6.500000,-34.671368,-64.769501,177.737381,2.964469,-0.023920,-0.067683,10.008335,0.047065,,
occluded_pedestrian_crossing,66,6.600000,-34.965897,-64.741058,177.062103,2.960492,-0.034601,-0.075832,10.519505,0.056473,,
occluded_pedestrian_crossing,67,6.700000,-35.259342,-64.707436,176.317505,2.955361,-0.045570,-0.083771,9.509087,0.067362,,
occluded_pedestrian_crossing,68,6.800000,-35.551479,-64.668404,175.507431,2.949027,-0.057133,-0.091342,10.502577,0.074683,,
occluded_pedestrian_crossing,69,6.900000,-35.842052,-64.623802,174.636780,2.941563,-0.068044,-0.098422,10.510683,0.084241,,
occluded_pedestrian_crossing,70,7.000000,-36.130833,-64.573509,173.711441,2.933280,-0.075986,-0.104897,9.520292,0.090183,,
occluded_pedestrian_crossing,71,7.100000,-36.417587,-64.517471,172.738312,2.923719,-0.088638,-0.110626,10.519266,0.096015,,
occluded_pedestrian_crossing,72,7.200000,-36.702091,-64.455666,171.723480,2.913861,-0.091491,-0.115770,10.515690,0.101768,,
occluded_pedestrian_crossing,73,7.300000,-36.984310,-64.388092,170.673172,2.905803,-0.073515,-0.120164,9.535313,0.104266,,
