场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
occluded_pedestrian_crossing_town05,0,0.000000,44.775852,-84.127823,-1.444275,0.000000,0.000000,0.000000,0.000000,0.083752,,
occluded_pedestrian_crossing_town05,1,0.100000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000010,64.740896,0.083752,,
occluded_pedestrian_crossing_town05,2,0.200000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000019,51.113367,0.083752,,
occluded_pedestrian_crossing_town05,3,0.300000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000027,55.289030,0.083752,,
occluded_pedestrian_crossing_town05,4,0.400000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000033,58.499336,0.083752,,
occluded_pedestrian_crossing_town05,5,0.500000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000039,43.561697,0.083752,,
occluded_pedestrian_crossing_town05,6,0.600000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000044,42.049170,0.083752,,
occluded_pedestrian_crossing_town05,7,0.700000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000048,44.356585,0.083752,,
occluded_pedestrian_crossing_town05,8,0.800000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000051,44.511557,0.083752,,
occluded_pedestrian_crossing_town05,9,0.900000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000054,45.934439,0.083752,,
occluded_pedestrian_crossing_town05,10,1.000000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000057,42.021275,0.083752,,
occluded_pedestrian_crossing_town05,11,1.100000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000059,40.807247,0.083752,,
occluded_pedestrian_crossing_town05,12,1.200000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000061,44.232607,0.083752,,
occluded_pedestrian_crossing_town05,13,1.300000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000062,43.635607,0.083752,,
occluded_pedestrian_crossing_town05,14,1.400000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000064,41.574955,0.083752,,
occluded_pedestrian_crossing_town05,15,1.500000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000065,40.902853,0.083752,,
occluded_pedestrian_crossing_town05,16,1.600000,44.775852,-84.127823,-1.444275,0.000000,-0.000000,-0.000066,42.194843,0.083752,,
occluded_pedestrian_crossing_town05,17,1.700000,44.775852,-84.127823,-1.444275,0.000000,0.000000,-0.000067,42.229652,0.083752,,
occluded_pedestrian_crossing_town05,18,1.800000,44.824444,-84.129051,-1.444214,1.084066,10.000000,-0.000067,44.658422,0.035145,,
occluded_pedestrian_crossing_town05,19,1.900000,44.970219,-84.132675,-1.458740,1.708644,6.245778,-0.000129,33.208370,0.000065,,
occluded_pedestrian_crossing_town05,20,2.000000,45.155224,-84.137360,-1.454712,1.947655,2.390116,0.000123,26.061773,0.000043,,
occluded_pedestrian_crossing_town05,21,2.100000,45.358948,-84.142525,-1.454498,2.111244,1.635890,0.000044,23.028374,0.000013,,
occluded_pedestrian_crossing_town05,22,2.200000,45.579109,-84.148117,-1.454590,2.282265,1.710208,-0.000015,20.017147,0.000030,,
occluded_pedestrian_crossing_town05,23,2.300000,45.816799,-84.154160,-1.454986,2.452963,1.706982,-0.000054,18.864393,0.000081,,
occluded_pedestrian_crossing_town05,24,2.400000,46.069553,-84.160591,-1.455597,2.582142,1.291783,-0.000077,17.425060,0.000140,,
occluded_pedestrian_crossing_town05,25,2.500000,46.332203,-84.167282,-1.456360,2.657115,0.749738,-0.000093,16.510248,0.000209,,
occluded_pedestrian_crossing_town05,26,2.600000,46.600002,-84.174110,-1.457276,2.693194,0.360786,-0.000108,13.530731,0.000283,,
occluded_pedestrian_crossing_town05,27,2.700000,46.870369,-84.181046,-1.458343,2.713747,0.205525,-0.000127,14.011383,0.000398,,
occluded_pedestrian_crossing_town05,28,2.800000,47.142761,-84.188004,-1.459564,2.734873,0.211266,-0.000146,14.514208,0.000483,,
occluded_pedestrian_crossing_town05,29,2.900000,47.417549,-84.195038,-1.461059,2.761008,0.261351,-0.000176,14.518738,0.000584,,
occluded_pedestrian_crossing_town05,30,3.000000,47.695072,-84.202156,-1.462891,2.788508,0.274999,-0.000215,13.514519,0.000700,,
occluded_pedestrian_crossing_town05,31,3.100000,47.975170,-84.209373,-1.465118,2.811912,0.234035,-0.000260,13.012171,0.000852,,
occluded_pedestrian_crossing_town05,32,3.200000,48.257240,-84.216660,-1.467774,2.828366,0.164544,-0.000305,14.018059,0.001025,,
