场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
urban_curve_tracking,0,0.000000,14.130092,69.714005,0.073273,0.000000,0.000000,0.000000,0.000000,0.849437,,
urban_curve_tracking,1,0.100000,14.130092,69.714005,0.073273,0.000000,0.000000,0.003613,68.282127,0.849437,,
urban_curve_tracking,2,0.200000,14.130092,69.714005,0.073273,0.000000,0.000000,0.006961,65.077305,0.849437,,
urban_curve_tracking,3,0.300000,14.130092,69.714005,0.073273,0.000000,0.000000,0.009804,67.290306,0.849437,,
urban_curve_tracking,4,0.400000,14.130092,69.714005,0.073273,0.000000,-0.000000,0.012219,69.742918,0.849437,,
urban_curve_tracking,5,0.500000,14.130092,69.714005,0.073273,0.000000,-0.000000,0.014270,72.684765,0.849437,,
urban_curve_tracking,6,0.600000,14.130092,69.714005,0.073273,0.000000,0.000000,0.016012,67.724228,0.849437,,
urban_curve_tracking,7,0.700000,14.132830,69.714043,0.074919,0.268231,2.681936,0.017491,68.742990,0.846702,,
urban_curve_tracking,8,0.800000,14.236864,69.715683,0.148020,1.541885,12.736553,0.019402,64.506054,0.742789,,
urban_curve_tracking,9,0.900000,14.429289,69.719093,0.269295,2.177373,6.354922,0.019230,58.601141,0.550690,,
urban_curve_tracking,10,1.000000,14.666819,69.723618,0.404562,2.494091,3.167184,0.017773,45.073509,0.314120,,
urban_curve_tracking,11,1.100000,14.924374,69.728546,0.525627,2.638193,1.441032,0.014367,37.386179,0.066265,,
urban_curve_tracking,12,1.200000,15.196085,69.733566,0.623118,2.796615,1.584248,0.010796,38.091898,0.034421,,
urban_curve_tracking,13,1.300000,15.488230,69.738594,0.693011,3.037164,2.405561,0.006983,27.047396,0.029767,,
urban_curve_tracking,14,1.400000,15.807715,69.743553,0.732372,3.328392,2.912382,0.003307,27.547359,0.025216,,
urban_curve_tracking,15,1.500000,16.157339,69.748291,0.740448,3.635001,3.066209,0.000152,25.021553,0.020925,,
urban_curve_tracking,16,1.600000,16.537664,69.752686,0.717880,3.940205,3.052161,-0.002416,22.950888,0.017017,,
urban_curve_tracking,17,1.700000,16.944876,69.756592,0.669032,4.155085,2.148920,-0.004272,10.512829,0.013630,,
urban_curve_tracking,18,1.800000,17.364435,69.759827,0.602511,4.206674,0.515981,-0.005383,12.597799,0.010929,,
urban_curve_tracking,19,1.900000,17.783615,69.762383,0.529744,4.177467,-0.292017,-0.005739,11.024952,0.008908,,
urban_curve_tracking,20,2.000000,18.200434,69.764397,0.457957,4.171879,-0.055852,-0.005576,9.506702,0.007426,,
urban_curve_tracking,21,2.100000,18.620474,69.766052,0.391873,4.233939,0.620608,-0.005003,12.696981,0.006308,,
urban_curve_tracking,22,2.200000,19.048777,69.767509,0.335009,4.322633,0.886940,-0.004146,9.508133,0.005402,,
urban_curve_tracking,23,2.300000,19.484570,69.768875,0.290107,4.379067,0.564339,-0.003145,10.459185,0.004600,,
urban_curve_tracking,24,2.400000,19.923321,69.770264,0.258494,4.388426,0.093595,-0.002129,10.511637,0.003779,,
urban_curve_tracking,25,2.500000,20.361605,69.771721,0.239673,4.378253,-0.101724,-0.001194,10.010719,0.002884,,
urban_curve_tracking,26,2.600000,20.799303,69.773338,0.232131,4.379488,0.012354,-0.000382,10.005951,0.001820,,
urban_curve_tracking,27,2.700000,21.238195,69.775146,0.234202,4.399142,0.196547,0.000307,10.513544,0.000558,,
urban_curve_tracking,28,2.800000,21.679455,69.777199,0.244479,4.422925,0.237844,0.000890,11.798620,0.000950,,
urban_curve_tracking,29,2.900000,22.122555,69.779510,0.261853,4.435318,0.123938,0.001394,11.554956,0.002707,,
