场景,step,time,x,y,yaw,speed,ac,steer,solve_time,lat_error,min_obstacle_dist,
urban_curve_tracking_town05,0,0.000000,-90.766502,94.962852,0.065570,0.000000,0.000000,0.000000,0.000000,0.000011,,
urban_curve_tracking_town05,1,0.100000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.180000,52.406073,0.000011,,
urban_curve_tracking_town05,2,0.200000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.343971,38.659096,0.000011,,
urban_curve_tracking_town05,3,0.300000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.455712,35.978079,0.000011,,
urban_curve_tracking_town05,4,0.400000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.525793,30.429363,0.000011,,
urban_curve_tracking_town05,5,0.500000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.577191,24.529219,0.000011,,
urban_curve_tracking_town05,6,0.600000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.615541,33.275604,0.000011,,
urban_curve_tracking_town05,7,0.700000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.639223,25.654078,0.000011,,
urban_curve_tracking_town05,8,0.800000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.653841,24.107218,0.000011,,
urban_curve_tracking_town05,9,0.900000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.662864,24.615288,0.000011,,
urban_curve_tracking_town05,10,1.000000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.668435,26.559591,0.000011,,
urban_curve_tracking_town05,11,1.100000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.671873,27.562141,0.000011,,
urban_curve_tracking_town05,12,1.200000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.673995,28.638363,0.000011,,
urban_curve_tracking_town05,13,1.300000,-90.766502,94.962852,0.065570,0.000000,0.000000,-0.675305,25.023222,0.000011,,
urban_curve_tracking_town05,14,1.400000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.676114,25.078773,0.000011,,
urban_curve_tracking_town05,15,1.500000,-90.766502,94.962852,0.065570,0.000000,-0.000000,-0.676613,26.029587,0.000011,,
